,enrollee_id,city_development_index,gender_Female,gender_Other,relevent_experience,enrolled_university_full_time,enrolled_university_part_time,education_level,major_Other,major_Humanities,major_Arts,major_No Major,major_Business Degree,company_size,company_type_private_limited,company_type_startup_earlystage,company_type_public_sector,company_type_startup_funded,company_type_NGO,company_type_Other,last_new_job,training_hours,target,exp_range,city_group_city_114,city_group_city_21,city_group_city_other,city_group_city_103,city_group_city_16
2913,16429,0.926,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,42,0.0,1,1,0,0,0,0
13038,1808,0.624,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,2,113,1.0,2,0,1,0,0,0
13226,32714,0.624,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,9,1.0,1,0,1,0,0,0
10167,23355,0.701,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,72,0.0,0,0,0,1,0,0
16867,18196,0.939,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,4,320,0.0,5,0,0,1,0,0
18975,27204,0.92,1,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,3,33,0.0,1,0,0,1,0,0
5683,659,0.92,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,178,1.0,5,0,0,0,1,0
8028,27911,0.92,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,1,168,0.0,2,0,0,0,1,0
13790,28595,0.855,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,1,36,0.0,3,0,0,1,0,0
2122,964,0.762,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,1,64,1.0,4,0,0,1,0,0
488,3999,0.795,0,0,1,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,5,94,0.0,5,0,0,1,0,0
9965,25441,0.92,0,0,1,0,1,2,0,0,0,0,0,7,1,0,0,0,0,0,5,90,0.0,4,0,0,0,1,0
8990,5594,0.92,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,3,3,0.0,3,0,0,0,1,0
7211,28204,0.939,0,0,1,1,0,3,0,0,0,0,0,3,0,0,0,1,0,0,5,76,0.0,5,0,0,1,0,0
15404,14277,0.762,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,4,83,0.0,2,0,0,1,0,0
17464,31945,0.887,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,3,0.0,4,0,0,1,0,0
6994,792,0.899,0,0,0,0,1,2,0,0,0,0,0,7,1,0,0,0,0,0,3,5,0.0,1,0,0,1,0,0
18700,22267,0.836,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,24,0.0,5,0,0,1,0,0
16839,33035,0.92,0,0,1,0,1,3,0,0,0,0,0,5,1,0,0,0,0,0,1,57,0.0,3,0,0,0,1,0
14828,24016,0.55,0,0,1,0,1,2,0,0,0,0,0,4,1,0,0,0,0,0,1,62,1.0,2,0,0,1,0,0
1533,6849,0.74,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,31,0.0,5,0,0,1,0,0
12134,33107,0.884,0,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,1,70,0.0,2,0,0,1,0,0
2920,28986,0.92,1,0,1,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,220,0.0,5,0,0,0,1,0
17134,10326,0.92,0,0,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,5,14,1.0,2,0,0,0,1,0
8080,19835,0.926,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,62,0.0,1,1,0,0,0,0
7154,12268,0.647,1,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,23,1.0,3,0,0,1,0,0
14770,21435,0.878,0,0,1,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,1,28,0.0,5,0,0,1,0,0
