,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major,company_size,company_type,last_new_job,training_hours,target,exp_range
0,8949,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,,,1,36,1.0,>20
1,29725,city_40,0.7759999999999999,Male,0,no_enrollment,Graduate,STEM,50-99,private_limited,>4,47,0.0,11-15
2,11561,city_21,0.624,,0,full_time,Graduate,STEM,,,never,83,0.0,2-5
3,33241,city_115,0.789,,0,,Graduate,Business Degree,,private_limited,never,52,1.0,<=1
4,666,city_162,0.767,Male,1,no_enrollment,Masters,STEM,50-99,startup_funded,4,8,0.0,>20
5,21651,city_176,0.764,,1,part_time,Graduate,STEM,,,1,24,1.0,11-15
6,28806,city_160,0.92,Male,1,no_enrollment,High School,,50-99,startup_funded,1,24,0.0,2-5
7,402,city_46,0.762,Male,1,no_enrollment,Graduate,STEM,<10,private_limited,>4,18,1.0,11-15
8,27107,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,50-99,private_limited,1,46,1.0,6-10
9,699,city_103,0.92,,1,no_enrollment,Graduate,STEM,10000+,private_limited,>4,123,0.0,16-20
10,29452,city_21,0.624,,0,full_time,High School,,,,never,32,1.0,2-5
11,23853,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,5000-9999,private_limited,1,108,0.0,2-5
12,25619,city_61,0.913,Male,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,3,23,0.0,>20
13,5826,city_21,0.624,Male,0,,,,,,never,24,0.0,2-5
14,8722,city_21,0.624,,0,full_time,High School,,,,never,26,0.0,2-5
15,6588,city_114,0.926,Male,1,no_enrollment,Graduate,STEM,10-49,private_limited,>4,18,0.0,16-20
16,4167,city_103,0.92,,1,no_enrollment,Graduate,STEM,50-99,private_limited,never,106,0.0,<=1
17,5764,city_21,0.624,,1,no_enrollment,Graduate,STEM,5000-9999,private_limited,2,7,0.0,2-5
18,2156,city_21,0.624,,1,no_enrollment,Graduate,STEM,10000+,private_limited,never,23,1.0,6-10
19,11399,city_13,0.8270000000000001,Female,1,no_enrollment,Graduate,Arts,,,1,132,1.0,2-5
20,31972,city_159,0.843,Male,1,no_enrollment,Masters,STEM,100-499,private_limited,1,68,0.0,11-15
21,19061,city_114,0.926,Male,1,no_enrollment,Masters,STEM,100-499,private_limited,2,50,0.0,11-15
22,6491,city_102,0.804,,1,no_enrollment,Masters,STEM,,,1,48,0.0,6-10
23,7041,city_40,0.7759999999999999,Male,1,no_enrollment,Graduate,Humanities,1000-4999,private_limited,1,65,0.0,<=1
24,22767,city_21,0.624,,1,no_enrollment,Graduate,STEM,1000-4999,private_limited,1,13,0.0,2-5
25,14505,city_67,0.855,,0,no_enrollment,High School,,,,never,22,0.0,2-5
26,17139,city_21,0.624,,1,part_time,Graduate,STEM,500-999,private_limited,1,148,1.0,11-15
27,28476,city_103,0.92,Male,1,no_enrollment,Graduate,Arts,,,2,72,0.0,2-5
28,21538,city_100,0.887,Male,1,no_enrollment,High School,,<10,private_limited,1,8,1.0,11-15
29,10408,city_21,0.624,Male,1,no_enrollment,Graduate,STEM,50-99,startup_funded,2,68,1.0,16-20
30,14928,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,3,40,0.0,>20
31,22293,city_103,0.92,Male,1,part_time,Graduate,STEM,5000-9999,private_limited,>4,141,0.0,16-20
32,4324,city_103,0.92,Female,0,full_time,Graduate,STEM,,,1,24,0.0,2-5
33,26966,city_160,0.92,Female,1,no_enrollment,Graduate,STEM,100-499,private_limited,>4,82,0.0,>20
34,26494,city_16,0.91,Male,1,no_enrollment,Graduate,Business Degree,5000-9999,private_limited,3,145,0.0,11-15
35,4866,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,10-49,startup_earlystage,2,206,0.0,6-10
36,12726,city_114,0.926,Male,0,part_time,High School,,10000+,Other,1,152,0.0,<=1
37,10164,city_114,0.926,Male,1,no_enrollment,Phd,STEM,100-499,private_limited,4,42,1.0,>20
38,8612,city_103,0.92,,0,no_enrollment,Graduate,STEM,,,4,50,0.0,11-15
39,24659,city_71,0.884,Male,0,no_enrollment,,,,,never,106,0.0,2-5
40,2547,city_114,0.926,Female,1,full_time,Masters,STEM,1000-4999,public_sector,2,14,0.0,16-20
41,13854,city_104,0.924,Male,1,no_enrollment,High School,,10-49,private_limited,2,36,0.0,2-5
42,31654,city_21,0.624,,1,no_enrollment,Masters,STEM,50-99,startup_earlystage,1,112,1.0,6-10
43,13643,city_64,0.6659999999999999,,0,no_enrollment,Graduate,No Major,50-99,private_limited,never,108,0.0,6-10
44,5590,city_21,0.624,Male,1,part_time,Masters,STEM,5000-9999,private_limited,3,7,1.0,6-10
45,22452,city_21,0.624,Female,0,full_time,Masters,STEM,,,never,26,1.0,2-5
46,9006,city_21,0.624,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,never,87,1.0,2-5
47,25987,city_103,0.92,Other,1,no_enrollment,Graduate,STEM,10000+,public_sector,4,52,1.0,16-20
48,4476,city_101,0.5579999999999999,Male,1,no_enrollment,Graduate,No Major,,,>4,20,1.0,11-15
49,25103,city_83,0.923,Male,1,no_enrollment,Graduate,STEM,10-49,private_limited,1,21,0.0,11-15
50,5568,city_101,0.5579999999999999,Male,0,no_enrollment,Graduate,STEM,,,1,92,1.0,2-5
51,2195,city_64,0.6659999999999999,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,2,102,0.0,6-10
52,30533,city_105,0.794,Male,0,no_enrollment,Graduate,Humanities,10000+,private_limited,>4,26,0.0,2-5
53,28512,city_104,0.924,,1,no_enrollment,Masters,STEM,<10,startup_earlystage,2,7,0.0,2-5
54,1023,city_114,0.926,Male,0,full_time,High School,,10000+,private_limited,1,43,0.0,2-5
55,12253,city_104,0.924,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,1,45,0.0,>20
56,25296,city_73,0.754,Male,1,full_time,Graduate,STEM,50-99,startup_earlystage,2,52,0.0,2-5
57,13238,city_103,0.92,Male,1,no_enrollment,Graduate,STEM,,,2,19,0.0,>20
58,13478,city_21,0.624,,1,full_time,Graduate,STEM,10-49,startup_funded,,32,1.0,2-5
59,18578,city_162,0.767,Male,1,no_enrollment,Graduate,Humanities,100-499,private_limited,>4,26,1.0,>20
60,29975,city_67,0.855,Male,1,part_time,Graduate,STEM,,,1,90,0.0,6-10
61,26516,city_75,0.939,Male,1,no_enrollment,Graduate,STEM,100-499,private_limited,3,25,0.0,6-10
